,Title,Price,Currency,Source,Price_USD,Link,Product
32,"Noutbuk Apple MacBook Air M2 15 | Apple M2 | DDR4 8GB | SSD 256GB | 15.6"" IPS WQXGA 2560x1600 60 Hz | Apple graphics 8 core | Grey",1615.3846153846157,USD,Zoodmall,1615.3846153846157,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
33,"Noutbuk Apple MacBook Pro M1 13 | Apple M1 | DDR4 8GB | SSD 512GB | 13"" IPS WQXGA 2560x1600 60 Hz | Apple graphics 8 core | Grey",1619.6923076923076,USD,Zoodmall,1619.6923076923076,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
34,"Noutbuk Apple MacBook Air M2 13 | Apple M2 | DDR4 8GB | SSD 512GB | 13"" IPS WQXGA 2560x1600 60 Hz | Apple graphics 8 core | Grey",1807.692307692308,USD,Zoodmall,1807.692307692308,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
35,"Noutbuk Apple MacBook Air M2 13 | Apple M2 | DDR4 8GB | SSD 512GB | 13"" IPS WQXGA 2560x1600 60 Hz | Apple graphics 8 core | Blue",1869.2307692307693,USD,Zoodmall,1869.2307692307693,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
36,"Noutbuk Apple MacBook Air M2 15 | Apple M2 | DDR4 16GB | SSD 256GB | 15.6"" IPS WQXGA 2560x1600 60 Hz | Apple graphics 8 core | Grey",1876.923076923077,USD,Zoodmall,1876.923076923077,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
37,"Noutbuk Apple MacBook Pro M2 13 | Apple M2 | DDR4 8GB | SSD 512GB | 13"" IPS WQXGA 2560x1600 60 Hz | Apple graphics 8 core | Grey",1884.6153846153843,USD,Zoodmall,1884.6153846153843,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
38,"Noutbuk Apple MacBook Air M2 13 | Apple M2 | DDR4 8GB | SSD 512GB | 13"" IPS WQXGA 2560x1600 60 Hz | Apple graphics 8 core | Silver",1922.3076923076924,USD,Zoodmall,1922.3076923076924,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
39,Ноутбук Apple MacBook Air 13 M2 24GB/256GB Space Gray,1951.4615384615383,USD,Asaxiy,1951.4615384615383,https://asaxiy.uz/compare,Macbook
40,Ноутбук Apple MacBook Air 13 M2 24GB/256GB Silver,1951.4615384615383,USD,Asaxiy,1951.4615384615383,https://asaxiy.uz/compare,Macbook
41,Ноутбук Apple MacBook Air 15 M3 16GB/1TB Midnight black,2126.846153846154,USD,Asaxiy,2126.846153846154,https://asaxiy.uz/compare,Macbook
